date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
2022/10/01,2,17.5,13.9,15.7,15.1,11.8,0.0,0.0,0.0,0.0,24.1,38.9
2022/10/02,3,16.0,13.6,14.7,13.9,10.6,0.0,0.0,0.0,0.0,25.6,40.7
2023/03/30,3,9.4,-3.0,2.6,2.6,-7.7,0.0,0.0,0.0,0.0,35.2,50.8
2023/04/01,71,11.6,0.0,4.5,4.9,-4.0,1.0,0.9,0.07,7.0,38.2,58.7
2023/04/02,3,10.7,-2.4,5.2,6.4,-6.1,0.0,0.0,0.0,0.0,30.6,44.6
2023/04/07,1,5.4,2.2,3.8,2.2,-2.5,0.0,0.0,0.0,0.0,18.4,33.1
2023/04/08,3,11.6,1.9,7.0,9.3,-1.7,0.0,0.0,0.0,0.0,17.7,31.7
2023/04/09,3,16.5,3.4,10.0,14.3,-0.3,0.0,0.0,0.0,0.0,17.3,30.6
2023/04/10,3,19.5,6.1,12.4,16.1,1.8,0.0,0.0,0.0,0.0,20.3,29.5
2023/04/11,3,22.8,8.9,16.0,20.0,4.4,0.0,0.0,0.0,0.0,27.0,40.7
2023/04/12,3,24.3,12.6,18.5,20.3,8.5,0.0,0.0,0.0,0.0,34.0,52.2
2023/04/20,63,24.8,11.6,17.8,20.3,7.5,7.5,7.5,0.0,5.0,40.2,65.9
2023/04/21,51,15.8,5.5,10.6,10.0,2.4,0.2,0.2,0.0,2.0,29.0,45.7
2023/04/22,73,7.7,2.9,5.5,4.0,-2.1,3.3,2.1,0.84,10.0,29.7,46.4
2023/04/23,53,5.7,1.8,3.5,2.3,-3.1,3.3,3.3,0.0,10.0,21.9,33.5
2023/04/25,53,6.7,2.7,4.7,3.2,-2.1,4.1,4.1,0.0,7.0,24.6,41.4
2023/04/26,1,6.2,3.0,4.6,3.1,-2.0,0.0,0.0,0.0,0.0,20.8,33.5
2023/04/27,3,14.3,1.9,8.2,12.6,-1.9,0.0,0.0,0.0,0.0,19.9,34.6
2023/05/05,3,22.3,10.1,15.8,20.0,5.9,0.0,0.0,0.0,0.0,28.1,41.0
2023/05/06,53,22.5,11.8,16.8,20.7,8.4,1.5,1.5,0.0,5.0,28.2,44.6
2023/05/07,55,23.4,7.8,16.0,27.2,3.8,1.5,1.5,0.0,3.0,26.8,40.7
2023/05/08,63,14.1,6.9,9.0,12.8,2.7,10.8,10.8,0.0,12.0,25.6,40.0
2023/05/09,3,11.6,7.2,9.2,10.8,4.0,0.0,0.0,0.0,0.0,18.5,34.2
2023/05/10,3,16.6,5.9,11.3,18.2,3.7,0.0,0.0,0.0,0.0,15.9,26.6
2023/05/23,0,22.6,13.8,17.9,24.0,11.4,0.0,0.0,0.0,0.0,22.2,36.7
2023/05/24,3,18.0,8.9,12.6,17.7,3.9,0.0,0.0,0.0,0.0,32.6,51.8
2023/05/25,3,12.1,8.1,10.0,8.4,2.7,0.0,0.0,0.0,0.0,26.6,44.3
2023/05/26,2,15.2,8.6,12.0,13.2,5.5,0.0,0.0,0.0,0.0,23.1,40.0
2023/05/27,3,18.0,8.8,13.9,15.8,6.5,0.0,0.0,0.0,0.0,20.9,36.0
2023/05/28,3,20.3,10.4,15.6,19.4,8.9,0.0,0.0,0.0,0.0,17.6,31.7
2023/05/29,3,20.1,10.9,16.0,20.1,9.2,0.0,0.0,0.0,0.0,17.6,31.7
2023/05/30,3,23.0,12.9,18.2,23.6,12.1,0.0,0.0,0.0,0.0,16.1,30.2
2023/05/31,63,27.4,15.2,21.8,30.0,15.0,3.2,3.2,0.0,3.0,23.1,39.2
2023/06/13,61,18.8,12.6,15.8,17.7,10.3,11.8,11.8,0.0,16.0,32.9,49.7
2023/06/14,51,18.5,13.6,15.6,19.0,13.3,0.1,0.1,0.0,1.0,18.9,33.1
2023/06/15,51,25.9,11.2,16.0,25.2,7.4,0.1,0.1,0.0,1.0,28.3,53.6
2023/06/16,3,16.3,11.4,13.2,14.4,7.3,0.0,0.0,0.0,0.0,27.8,42.8
2023/06/17,3,21.0,10.8,16.2,21.6,9.8,0.0,0.0,0.0,0.0,17.5,33.1
2023/06/18,3,23.4,14.6,19.3,24.3,13.6,0.0,0.0,0.0,0.0,25.2,41.4
2023/06/27,51,20.4,15.6,18.4,19.8,15.2,0.1,0.1,0.0,1.0,26.9,46.1
2023/06/28,51,23.8,13.6,19.5,25.4,13.3,0.1,0.1,0.0,1.0,20.5,33.5
2023/06/29,65,29.5,19.5,23.3,33.4,19.1,24.6,24.6,0.0,11.0,24.5,44.6
2023/06/30,61,27.5,21.2,24.3,35.0,24.0,1.9,1.9,0.0,4.0,23.2,42.5
2023/07/01,63,26.0,20.6,22.4,32.9,23.3,14.7,14.7,0.0,12.0,17.3,39.2
2023/07/02,65,21.1,16.5,18.5,25.1,14.6,114.0,114.0,0.0,19.0,43.6,66.2
2023/07/14,61,30.8,19.5,24.1,31.5,20.3,2.3,2.3,0.0,4.0,26.4,44.3
2023/07/15,55,27.5,20.5,23.4,32.6,22.4,5.7,5.7,0.0,12.0,15.9,34.2
2023/07/16,3,27.7,19.0,23.1,27.0,19.4,0.0,0.0,0.0,0.0,28.5,43.6
2023/07/17,3,22.5,18.4,20.7,25.4,19.4,0.0,0.0,0.0,0.0,21.2,35.6
2023/07/18,3,22.2,16.8,19.9,23.1,16.8,0.0,0.0,0.0,0.0,16.6,31.0
2023/07/19,3,24.6,16.0,21.1,27.2,17.0,0.0,0.0,0.0,0.0,15.7,28.8
2023/07/20,53,29.6,19.7,23.5,29.5,20.9,1.0,1.0,0.0,3.0,30.1,54.7
2023/07/21,3,23.1,18.4,20.4,24.9,17.4,0.0,0.0,0.0,0.0,21.7,35.6
2023/07/22,3,27.9,17.4,22.3,30.1,18.0,0.0,0.0,0.0,0.0,13.0,22.0
2023/07/23,3,25.0,18.0,21.9,28.0,19.2,0.0,0.0,0.0,0.0,17.1,30.6
2023/07/31,51,24.7,16.6,21.2,26.5,17.4,0.2,0.2,0.0,2.0,15.8,27.7
2023/08/01,51,27.6,18.3,23.3,29.0,19.8,0.2,0.2,0.0,2.0,14.2,25.2
2023/08/02,3,27.9,18.9,23.6,29.5,19.9,0.0,0.0,0.0,0.0,16.3,28.8
2023/08/03,3,27.2,18.2,23.2,31.0,20.2,0.0,0.0,0.0,0.0,14.5,24.1
2023/08/04,3,25.1,20.5,22.9,29.3,22.0,0.0,0.0,0.0,0.0,23.2,37.4
2023/08/05,61,22.5,20.0,21.3,26.1,20.1,16.8,16.8,0.0,15.0,24.1,36.7
2023/08/06,55,21.2,19.0,20.0,21.0,18.0,6.3,6.3,0.0,13.0,31.1,48.6
